id,headshot,firstName,lastName,sweaterNumber,position,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,team_code,season
8484153,https://assets.nhle.com/mugs/nhl/20242025/ANA/8484153.png,Leo,Carlsson,91,FWD,C,L,75,203,191,92,2004-12-26,Karlstad,SWE,ANA,20242025
8477952,https://assets.nhle.com/mugs/nhl/20242025/ANA/8477952.png,Robby,Fabbri,13,FWD,C,L,71,185,180,84,1996-01-22,Mississauga,CAN,ANA,20242025
8483445,https://assets.nhle.com/mugs/nhl/20242025/ANA/8483445.png,Cutter,Gauthier,61,FWD,L,L,74,201,188,91,2004-01-19,Skelleftea,SWE,ANA,20242025
8478424,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478424.png,Jansen,Harkins,38,FWD,C,L,73,199,185,90,1997-05-23,Cleveland,USA,ANA,20242025
8477527,https://assets.nhle.com/mugs/nhl/20242025/ANA/8477527.png,Ross,Johnston,44,FWD,L,L,77,232,196,105,1994-02-18,Charlottetown,CAN,ANA,20242025
8473986,https://assets.nhle.com/mugs/nhl/20242025/ANA/8473986.png,Alex,Killorn,17,FWD,L,L,73,192,185,87,1989-09-14,Halifax,CAN,ANA,20242025
8475184,https://assets.nhle.com/mugs/nhl/20242025/ANA/8475184.png,Chris,Kreider,NA,FWD,C,L,75,230,191,104,1991-04-30,Boxford,USA,ANA,20242025
8481517,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481517.png,Brett,Leason,20,FWD,R,R,77,220,196,100,1999-04-30,Calgary,CAN,ANA,20242025
8480806,https://assets.nhle.com/mugs/nhl/20242025/ANA/8480806.png,Isac,Lundestrom,21,FWD,C,L,72,191,183,87,1999-11-06,Gallivare,SWE,ANA,20242025
8476934,https://assets.nhle.com/mugs/nhl/20242025/ANA/8476934.png,Brock,McGinn,26,FWD,L,L,72,191,183,87,1994-02-02,Fergus,CAN,ANA,20242025
8482745,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482745.png,Mason,McTavish,23,FWD,C,L,73,219,185,99,2003-01-30,Zurich,CHE,ANA,20242025
8480068,https://assets.nhle.com/mugs/nhl/20242025/ANA/8480068.png,Ryan,Poehling,25,FWD,C,L,74,204,188,93,1999-01-03,Lakeville,USA,ANA,20242025
8476458,https://assets.nhle.com/mugs/nhl/20242025/ANA/8476458.png,Ryan,Strome,16,FWD,C,R,73,192,185,87,1993-07-11,Mississauga,CAN,ANA,20242025
8478873,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478873.png,Troy,Terry,19,FWD,R,R,72,191,183,87,1997-09-10,Denver,USA,ANA,20242025
8478366,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478366.png,Frank,Vatrano,77,FWD,R,L,71,206,180,93,1994-03-14,East Longmeadow,USA,ANA,20242025
8485512,https://assets.nhle.com/mugs/nhl/20242025/ANA/8485512.png,Tim,Washe,42,FWD,C,L,75,215,191,98,2001-08-25,Detroit,USA,ANA,20242025
8475462,https://assets.nhle.com/mugs/nhl/20242025/ANA/8475462.png,Radko,Gudas,7,DEF,D,R,72,208,183,94,1990-06-05,Prague,CZE,ANA,20242025
8481563,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481563.png,Drew,Helleson,43,DEF,D,R,75,213,191,97,2001-03-26,Farmington,USA,ANA,20242025
8478430,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478430.png,Oliver,Kylington,58,DEF,D,L,72,183,183,83,1997-05-19,Stockholm,SWE,ANA,20242025
8481605,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481605.png,Jackson,LaCombe,2,DEF,D,L,74,205,188,93,2001-01-09,Eden Prairie,USA,ANA,20242025
8483490,https://assets.nhle.com/mugs/nhl/20242025/ANA/8483490.png,Pavel,Mintyukov,34,DEF,D,L,73,200,185,91,2003-11-25,Moscow,RUS,ANA,20242025
8482178,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482178.png,Ian,Moore,74,DEF,D,R,75,203,191,92,2002-01-04,Salt Lake City,USA,ANA,20242025
8476885,https://assets.nhle.com/mugs/nhl/20242025/ANA/8476885.png,Jacob,Trouba,65,DEF,D,R,75,212,191,96,1994-02-26,Rochester,USA,ANA,20242025
8482803,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482803.png,Olen,Zellweger,51,DEF,D,L,70,187,178,85,2003-09-10,Calgary,CAN,ANA,20242025
8480843,https://assets.nhle.com/mugs/nhl/20242025/ANA/8480843.png,Lukas,Dostal,1,GK,G,L,74,190,188,86,2000-06-22,Brno,CZE,ANA,20242025
8475852,https://assets.nhle.com/mugs/nhl/20242025/ANA/8475852.png,Petr,Mrazek,NA,GK,G,L,74,188,188,85,1992-02-14,Ostrava,CZE,ANA,20242025
8481556,https://assets.nhle.com/mugs/nhl/20242025/BOS/8481556.png,John,Beecher,19,FWD,C,L,75,220,191,100,2001-04-05,Elmira,USA,BOS,20242025
8479987,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479987.png,Morgan,Geekie,39,FWD,C,R,75,208,191,94,1998-07-20,Strathclair,CAN,BOS,20242025
8480355,https://assets.nhle.com/mugs/nhl/20242025/BOS/8480355.png,Mark,Kastelic,47,FWD,C,R,76,227,193,103,1999-03-11,Phoenix,USA,BOS,20242025
8482177,https://assets.nhle.com/mugs/nhl/20242025/BOS/8482177.png,Marat,Khusnutdinov,92,FWD,C,L,71,176,180,80,2002-07-17,Moscow,RUS,BOS,20242025
8481043,https://assets.nhle.com/mugs/nhl/20242025/BOS/8481043.png,Cole,Koepke,45,FWD,L,L,73,207,185,94,1998-05-17,Two Harbors,USA,BOS,20242025
8480880,https://assets.nhle.com/mugs/nhl/20242025/BOS/8480880.png,Jakub,Lauko,94,FWD,C,L,73,193,185,88,2000-03-28,Prague,CZE,BOS,20242025
8477496,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477496.png,Elias,Lindholm,28,FWD,C,R,73,202,185,92,1994-12-02,Boden,SWE,BOS,20242025
8479999,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479999.png,Casey,Mittelstadt,11,FWD,C,L,73,195,185,88,1998-11-22,Eden Prairie,USA,BOS,20242025
8477956,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477956.png,David,Pastrnak,88,FWD,R,R,72,200,183,91,1996-05-25,Havirov,CZE,BOS,20242025
8478401,https://assets.nhle.com/mugs/nhl/20242025/BOS/8478401.png,Pavel,Zacha,18,FWD,C,L,75,206,191,93,1997-04-06,Brno,CZE,BOS,20242025
8480035,https://assets.nhle.com/mugs/nhl/20242025/BOS/8480035.png,Henri,Jokiharju,20,DEF,D,R,72,200,183,91,1999-06-17,Oulu,FIN,BOS,20242025
8476854,https://assets.nhle.com/mugs/nhl/20242025/BOS/8476854.png,Hampus,Lindholm,27,DEF,D,L,76,224,193,102,1994-01-20,Helsingborg,SWE,BOS,20242025
8482511,https://assets.nhle.com/mugs/nhl/20242025/BOS/8482511.png,Mason,Lohrei,6,DEF,D,L,77,220,196,100,2001-01-17,Baton Rouge,USA,BOS,20242025
8479325,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479325.png,Charlie,McAvoy,73,DEF,D,R,73,213,185,97,1997-12-21,Long Beach,USA,BOS,20242025
8479369,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479369.png,Andrew,Peeke,52,DEF,D,R,75,214,191,97,1998-03-17,Parkland,USA,BOS,20242025
8478450,https://assets.nhle.com/mugs/nhl/20242025/BOS/8478450.png,Parker,Wotherspoon,29,DEF,D,L,73,192,185,87,1997-08-24,Surrey,CAN,BOS,20242025
8477507,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477507.png,Nikita,Zadorov,91,DEF,D,L,78,248,198,112,1995-04-16,Moscow,RUS,BOS,20242025
